Número processo,Categoria,comarca,vara,juiz,Pena Base,Pena Definitiva,Circunstâncias Judiciais,Antecedentes,Pena-Base Minimo?,Agravantes/Atenuantes,Reincidência,Confissão Espontânea,Comparação Pena Provisória,Crime Tentado,Repouso Noturno,Conversão da Pena
0072311-09.2018.8.26.0050,Furto Simples,SÃO PAULO,24ª Vara Criminal,Dra. Sonia Nazaré Fernandes Fraga,N/A,N/A,Não,Primário ou sem antecedentes,Não no mínimo,Não,Não,Não,Diferente da base,Sim,Não,Não convertida
0072323-23.2018.8.26.0050,Furto Simples,SÃO PAULO,11ª Vara Criminal,Dr(a). José Paulo Camargo Magano,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0073551-33.2018.8.26.0050,Furto Simples,SÃO PAULO,15ª Vara Criminal,PALOMA MOREIRA DE ASSIS CARVALHO,N/A,N/A,N/A,Primário ou sem antecedentes,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A
0075712-50.2017.8.26.0050,Furto Simples,SÃO PAULO,16ª Vara Criminal,FABIOLA OLIVEIRA SILVA,N/A,N/A,N/A,Primário ou sem antecedentes,Sim no mínimo,N/A,Não,N/A,N/A,N/A,N/A,N/A
0076551-41.2018.8.26.0050,Furto Simples,SÃO PAULO,14ª Vara Criminal,Dr(a). LETICIA DE ASSIS BRUNING,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0078772-65.2016.8.26.0050,Furto Simples,SÃO PAULO,31ª Vara Criminal,Dr(a). Ana Helena Rodrigues Mellim,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0081277-58.2018.8.26.0050,Furto Simples,SÃO PAULO,24ª Vara Criminal,Dr(a). Giovana Furtado de Oliveira,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0081397-89.2003.8.26.0224,Furto Simples,Guarulhos,5ª Vara Criminal,PRISCILA DEVECHI FERRAZ MAIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0082470-70.2002.8.26.0050,Furto Simples,SÃO PAULO,19ª Vara Criminal,Antonio Carlos de Campos Machado Junior,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0083182-98.2018.8.26.0050,Furto Simples,SÃO PAULO,24ª Vara Criminal,Dr(a). Giovana Furtado de Oliveira,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0083436-13.2014.8.26.0050,Furto Simples,SÃO PAULO,21ª Vara Criminal,Renata William Rached Catelli,N/A,326,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0084043-21.2017.8.26.0050,Furto Simples,SÃO PAULO,18ª Vara Criminal,Dr(a). Danielle Galhano Pereira da Silva,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0084942-78.2001.8.26.0050,Furto Simples,SÃO PAULO,19ª Vara Criminal,Antonio Carlos de Campos Machado Junior,N/A,N/A,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Diferente da base,Não,Não,Não convertida
0087216-53.2017.8.26.0050,Furto Simples,SÃO PAULO,6ª Vara Criminal,Dr(a). Margot Chrysostomo Corrêa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0088711-98.2018.8.26.0050,Furto Simples,SÃO PAULO,9ª Vara Criminal,Lilian Lage Humes,365,N/A,Não,Maus antecedentes,Sim no mínimo,Não,Uma condenação,Não,Diferente da base,Não,Não,Não convertida
0089801-44.2018.8.26.0050,Furto Simples,São Paulo,14ª Vara Criminal,Dr(a). LETICIA DE ASSIS BRUNING,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0090920-11.2016.8.26.0050,Furto Simples,SÃO PAULO,16ª Vara Criminal,FABIOLA OLIVEIRA SILVA,N/A,N/A,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,N/A,Sim,Sim,Não convertida
0090991-42.2018.8.26.0050,Furto Simples,SÃO PAULO,9ª Vara Criminal,Dr(a). Lilian Lage Humes,365,N/A,N/A,Maus antecedentes,Sim no mínimo,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0091895-72.2012.8.26.0050,Furto Simples,SÃO PAULO,2ª Vara Criminal,Dr(a). Rodrigo Cesar Muller Valente,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0093673-67.2018.8.26.0050,Furto Simples,SÃO PAULO,9ª Vara Criminal,Dr(a). Lilian Lage Humes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A
0094596-30.2017.8.26.0050,Furto Simples,São Paulo,9ª Vara Criminal,Dr(a). Lilian Lage Humes,365,N/A,Não,Maus antecedentes,Sim no mínimo,Não,Uma condenação,Não,Diferente da base,Não,Não,Não convertida
